acronym,change
CUL,80.23266549718403
CUL4,
CUL4mo,
CUL4pu,
CUL4gr,
CUL5,
CUL5mo,
CUL5pu,
CUL5gr,
"CUL4, 5",80.23266549718403
"CUL4, 5mo",
"CUL4, 5pu",
"CUL4, 5gr",
DEC,43.65486574311614
DECmo,
DECpu,
DECgr,
FOTU,77.42268041237111
FOTUmo,
FOTUpu,
FOTUgr,
PYR,190.82483781278964
PYRmo,
PYRpu,
PYRgr,
UVU,720.9201119055022
UVUmo,
UVUpu,
UVUgr,
NOD,187.37864077669911
NODmo,
NODpu,
NODgr,
HEM,213.3178030054465
SIM,163.11070816963837
SIMmo,
SIMpu,
SIMgr,
AN,17.560367305294175
ANcr1,5.197833093327857
ANcr1mo,
ANcr1pu,
ANcr1gr,
ANcr2,32.73569023569025
ANcr2mo,
ANcr2pu,
ANcr2gr,
PRM,137.54721953790744
PRMmo,
PRMpu,
PRMgr,
COPY,487.44838976052847
COPYmo,
COPYpu,
COPYgr,
PFL,1134.8559266535692
PFLmo,
PFLpu,
PFLgr,
FL,266.7311411992262
FLmo,
FLpu,
FLgr,
CBN,467.8756476683939
FN,110.57692307692307
IP,1105.454545454545
DN,428.57142857142867
VeCB,692.3076923076923
fiber tracts,158.79170883357244
cm,108.27367964373668
tn,
von,-85.49222797927462
In,82.11462807232827
onl,86.61551971160515
lotg,61.62249645963988
lot,57.61653051417591
lotd,82.97055057618438
aolt,
aco,85.5811889973381
IIn,145.97680318956142
aot,
bsc,486.81948424068764
csc,46.83544303797469
och,62.58992805755395
opt,499.88925802879294
ttp,
IIIn,18.944392082940617
mlf,1.6414141414141474
pc,64.92537313432837
IVn,85.71428571428574
IVd,
VIn,
Vn,250.13873808662086
moV,503.1249999999999
sV,245.1593061877229
mtV,
sptV,157.51434034416826
VIIn,117.0454545454545
iVIIn,
gVIIn,103.03030303030309
VIIIn,238.4444991385676
cvb,
vVIIIn,142.3580786026201
cVIIIn,250.6518723994452
tb,155.8782849239281
ias,
das,433.33333333333337
ll,375.5086661642804
cic,-75.49019607843137
bic,256.25859697386517
IXn,
Xn,151.6129032258065
ts,151.6129032258065
XIn,
XIIn,
vrt,
drt,18.125169330804646
cett,18.125169330804646
dl,
dcm,
vc,
fpr,
dc,266.1764705882353
cuf,266.1764705882353
grf,
iaf,
ml,13.469500414021535
sst,
sttl,
sttv,
scrt,
sop,
srp,
svp,
stp,
shp,
step,
hht,
cbf,348.53483828955933
cbc,70.66666666666666
cbp,281.228939544103
scp,120.35029190992496
dscp,129.3577981651376
sct,
uf,765.0000000000001
sctv,247.01195219123505
mcp,500.3041054232133
icp,153.44367325146823
sctd,543.7499999999999
cct,
jrb,
bct,
oct,
rct,
tct,
arb,436.56570591108937
scwm,222.51748251748253
lfbs,248.09829802014582
cc,180.98345527651435
fa,79.7244941885493
ec,101.84948979591834
ee,168.48249027237352
ccg,53.29018338727077
fp,501.9938650306748
ccr,
ccb,207.8838174273859
ccs,311.41253507951353
cst,304.42733397497585
int,655.3805774278214
cpd,263.92572944297086
cte,
crt,
cpt,
cbt,
py,228.7179487179488
pyd,391.7431192660551
cstc,
cstu,
lfbst,425.7166947723439
em,857.9710144927537
im,
mtc,
tp,
or,488.34054834054837
ar,221.7355371900826
eps,97.46444032158317
epsc,207.14285714285717
pap,
nst,207.14285714285717
ntt,
ptf,
snp,
stf,
tsp,-20.495646349631617
tspd,-100.0
dtd,-5.6603773584905674
tspc,-20.986796386379424
rust,197.87632729544035
vtd,-10.305343511450364
rrt,
ctb,
rst,
rstl,
rstm,
vsp,
mfbs,171.5557638238051
mfbc,193.7690213038603
amc,63.739376770538236
apd,
act,16.812227074235807
cing,345.23191094619665
fxs,175.36717340891522
alv,145.553772070626
df,8500.0
fi,235.45942532365015
fxprg,
db,
fxpo,61.538461538461576
mct,242.10526315789474
fx,56.51537335285509
hc,142.08494208494207
dhc,162.00873362445418
vhc,-10.000000000000021
per,
ab,
lab,
st,86.82080924855488
stc,74.71910112359551
mfsbshy,58.44208809135397
mfb,42.7710843373494
vlt,
poc,
sup,496.42857142857133
supa,
supd,
supv,
pmx,
smd,
php,
phpd,
phpl,
phpm,
phpv,
pvbh,
mfbsma,-7.975460122699374
pm,-27.272727272727295
mtt,27.131782945736376
mtg,-33.46855983772819
mp,244.82758620689657
mfbst,
pvbt,
mfbse,92.81150159744406
sm,116.03630862329801
fr,154.3352601156069
hbc,30.62200956937801
PIS,
mfbsm,
dlf,
dtt,
VS,33.39563461373205
VL,34.25755002584364
RC,
SEZ,14.592933947772666
chpl,59.838467020350016
chfl,
IVF,
V3,5.340873389883756
AQ,-24.83532568919249
V4,116.74418604651167
V4r,547.1864406779662
c,-33.33333333333333
grv,
grv of CTX,
eg,
hf,
rf,
ri,
grv of CBX,
pce,
pcf,
pri,
psf,
ppf,
sec,
plf,
nf,
sif,
icf,
apf,
ipf,
pms,
pfs,
IPF,
retina,
